date,H_BTC_BTC,H_BTC_ETH,H_BTC_USDe,H_BTC_USDC,H_ETH_BTC,H_ETH_ETH,H_ETH_USDe,H_ETH_USDC,H_USDe_BTC,H_USDe_ETH,H_USDe_USDe,H_USDe_USDC,H_USDC_BTC,H_USDC_ETH,H_USDC_USDe,H_USDC_USDC
2024-08-24,0.0008076203874190995,0.0008270964893350695,3.639980150344185e-06,-7.355783046070571e-07,0.0008270964893350695,0.0012685116051260519,3.5678986982257304e-06,-1.5505960488227852e-06,3.639980150344185e-06,3.56789869822573e-06,1.5126030391308832e-07,3.4120391529213652e-09,-7.355783046070573e-07,-1.550596048822785e-06,3.4120391529213652e-09,8.612001148582314e-06
2024-08-25,0.0007588955104551795,0.0007711120757897178,3.6224676502820643e-06,-7.129437383584751e-07,0.0007711120757897178,0.0011733915602849454,3.522934586875289e-06,-1.490917918205736e-06,3.6224676502820643e-06,3.522934586875289e-06,1.5942973824589416e-07,3.4980427240354666e-09,-7.129437383584751e-07,-1.490917918205736e-06,3.4980427240354666e-09,8.605422330526689e-06
2024-08-26,0.000714313049175843,0.0007373994184576344,3.395270626364075e-06,-6.92206885469073e-07,0.0007373994184576344,0.001140005573179724,3.3546954664107827e-06,-1.4706970939462253e-06,3.3952706263640754e-06,3.3546954664107827e-06,1.4879961491987647e-07,3.38351945629185e-09,-6.92206885469073e-07,-1.4706970939462253e-06,3.3835194562918494e-09,8.618486541639096e-06
2024-08-27,0.0007280698969883253,0.0007907332612130958,3.4325031090628608e-06,-6.981458770595483e-07,0.0007907332612130957,0.0012861059595563379,3.5680633773329176e-06,-1.5604322773352916e-06,3.4325031090628608e-06,3.568063377332918e-06,1.49206971316034e-07,3.3831736703614953e-09,-6.981458770595483e-07,-1.5604322773352916e-06,3.3831736703614953e-09,8.599489495444187e-06
2024-08-28,0.001002865089784723,0.001499754827745581,3.926411676786833e-06,-8.204662820373597e-07,0.001499754827745581,0.0033588221752115415,5.620001050783616e-06,-2.525055460769124e-06,3.926411676786833e-06,5.620001050783617e-06,1.4174121914413023e-07,3.303002319948756e-09,-8.204662820373597e-07,-2.525055460769124e-06,3.303002319948756e-09,8.620129516797144e-06
2024-08-29,0.0009446953456933022,0.0011928504030237334,3.7574231896995907e-06,-7.952406541109022e-07,0.0011928504030237336,0.0022556432378843232,4.5409661412230315e-06,-2.0664631550532728e-06,3.7574231896995907e-06,4.5409661412230315e-06,1.3779385026012187e-07,3.25161981571419e-09,-7.952406541109024e-07,-2.0664631550532723e-06,3.25161981571419e-09,8.600405385401197e-06
2024-08-30,0.0008850324643987587,0.0009913508872322198,3.516566411212435e-06,-7.70299505127161e-07,0.0009913508872322198,0.001662974338168777,3.7700890728862394e-06,-1.7758242112435892e-06,3.5165664112124356e-06,3.7700890728862394e-06,1.288308972149475e-07,3.1474066299139493e-09,-7.70299505127161e-07,-1.7758242112435892e-06,3.1474066299139493e-09,8.614280859200833e-06
2024-08-31,0.0008320675718941773,0.0008721533840218769,3.3429598714565184e-06,-7.467866187813488e-07,0.0008721533840218768,0.0013690429944282273,3.3537443883593866e-06,-1.610965496974553e-06,3.3429598714565184e-06,3.3537443883593866e-06,1.2383552845090227e-07,3.0845726177292717e-09,-7.467866187813488e-07,-1.6109654969745532e-06,3.0845726177292717e-09,8.611090269610733e-06
2024-09-01,0.0007820156472888525,0.000801115355110565,3.161207295792971e-06,-7.23937229845113e-07,0.0008011153551105651,0.001229035995971726,3.0995398347503687e-06,-1.5263086511493843e-06,3.161207295792971e-06,3.0995398347503683e-06,1.1782354980489576e-07,3.008750340498987e-09,-7.239372298451131e-07,-1.526308651149384e-06,3.0087503404989866e-09,8.610265421796845e-06
2024-09-02,0.0008190382643910119,0.0009044829801528318,3.1510795437226985e-06,-7.410372191141787e-07,0.0009044829801528317,0.0014958441095683345,3.3305804240411942e-06,-1.684137990047671e-06,3.1510795437226985e-06,3.3305804240411947e-06,1.1177840614817533e-07,2.931673417275873e-09,-7.410372191141787e-07,-1.6841379900476713e-06,2.9316734172758734e-09,8.61218856558603e-06
2024-09-03,0.0007843714050786621,0.0008560357526126337,3.0045561381813573e-06,-7.246979929960179e-07,0.0008560357526126337,0.001399109608780583,3.138446380427156e-06,-1.6278258486027875e-06,3.0045561381813573e-06,3.138446380427156e-06,1.0611625134747497e-07,2.854533514920002e-09,-7.24697992996018e-07,-1.6278258486027877e-06,2.8545335149200022e-09,8.604779577036735e-06
2024-09-04,0.0008246176352014881,0.001018801354131873,3.0042593838529477e-06,-7.437318611902664e-07,0.001018801354131873,0.0018850206084886564,3.5525347717156076e-06,-1.8910466455154626e-06,3.0042593838529477e-06,3.5525347717156076e-06,1.0091727966228623e-07,2.7862204932258078e-09,-7.437318611902665e-07,-1.8910466455154626e-06,2.7862204932258078e-09,8.616202183813037e-06
2024-09-05,0.0007758162571899453,0.0008777540685862725,2.9640985858855373e-06,-7.210928081657323e-07,0.0008777540685862726,0.0014872252284378912,3.209750643228289e-06,-1.6790960282583096e-06,2.9640985858855373e-06,3.2097506432282885e-06,1.0441615712094891e-07,2.8342829414588514e-09,-7.210928081657324e-07,-1.6790960282583096e-06,2.834282941458851e-09,8.611827107051351e-06
2024-09-06,0.0008349322671762553,0.000946468675838674,3.0149833368722703e-06,-7.482273082020916e-07,0.0009464686758386739,0.0016067599761972954,3.271180755452318e-06,-1.7455016573433525e-06,3.0149833368722703e-06,3.2711807554523176e-06,1.0038286275478082e-07,2.7775051891037276e-09,-7.482273082020917e-07,-1.7455016573433525e-06,2.7775051891037276e-09,8.612728963095073e-06
2024-09-07,0.0009521575655249576,0.0012545918319977524,3.340810505217056e-06,-7.989969881385832e-07,0.0012545918319977524,0.0024756291703135432,4.21318687973717e-06,-2.166599460374507e-06,3.340810505217056e-06,4.21318687973717e-06,1.0807708249562466e-07,2.8810837643446863e-09,-7.989969881385834e-07,-2.166599460374507e-06,2.8810837643446863e-09,8.611552408686596e-06
2024-09-08,0.0008914851951879363,0.0010354918384717833,3.184020521400311e-06,-7.725686023637083e-07,0.0010354918384717833,0.0018012301526158037,3.5397572178601794e-06,-1.8468169330509719e-06,3.1840205214003105e-06,3.5397572178601794e-06,1.0485260697148892e-07,2.838050486283159e-09,-7.725686023637083e-07,-1.8468169330509716e-06,2.838050486283159e-09,8.602219428296444e-06
2024-09-09,0.0008383240728755479,0.0008989868995577439,3.0861645237323243e-06,-7.492793749678562e-07,0.000898986899557744,0.0014437257934922759,3.1675609490146283e-06,-1.6537194213309167e-06,3.0861645237323243e-06,3.1675609490146283e-06,1.0475317338621147e-07,2.8374806576535505e-09,-7.492793749678562e-07,-1.653719421330917e-06,2.8374806576535505e-09,8.605143666417316e-06
2024-09-10,0.0008112579084410904,0.0008392403572653533,2.958137689086841e-06,-7.37224992362799e-07,0.0008392403572653531,0.0013001806267935252,2.928940078134104e-06,-1.569771354762671e-06,2.958137689086841e-06,2.9289400781341035e-06,9.945327047907187e-08,2.7649305108707435e-09,-7.372249923627991e-07,-1.569771354762671e-06,2.764930510870744e-09,8.610261706486034e-06
2024-09-11,0.0007640947398107647,0.000782178678237943,3.082723379249907e-06,-7.155358679444815e-07,0.000782178678237943,0.0011990978996511501,3.020352909533161e-06,-1.5075112456311808e-06,3.082723379249907e-06,3.0203529095331607e-06,1.1467427023440764e-07,2.9671185174029544e-09,-7.155358679444816e-07,-1.5075112456311806e-06,2.9671185174029536e-09,8.609807147804635e-06
2024-09-12,0.0007220805156733838,0.0007804550107790713,2.96356032583644e-06,-6.958316812376916e-07,0.0007804550107790714,0.0012632814198931218,3.0657722198842813e-06,-1.5478807356018566e-06,2.96356032583644e-06,3.0657722198842813e-06,1.1214614669543825e-07,2.937356523207156e-09,-6.958316812376916e-07,-1.5478807356018566e-06,2.937356523207156e-09,8.614744636750673e-06
2024-09-13,0.0006834062611192466,0.0007325245720424097,2.9152523369375915e-06,-6.769151112806391e-07,0.0007325245720424098,0.0011758593320628512,2.990778196714141e-06,-1.493334150390695e-06,2.9152523369375915e-06,2.9907781967141406e-06,1.1466124866252094e-07,2.9684665961818273e-09,-6.76915111280639e-07,-1.493334150390695e-06,2.9684665961818277e-09,8.615477874987699e-06
2024-09-14,0.0006722081177678804,0.0007311279035207598,2.984742772455228e-06,-6.716219082146889e-07,0.0007311279035207598,0.001190892952289832,3.1071394762773113e-06,-1.5035795049057851e-06,2.984742772455228e-06,3.107139476277311e-06,1.2219323751929285e-07,3.068622251871067e-09,-6.716219082146889e-07,-1.5035795049057853e-06,3.068622251871067e-09,8.624712899759917e-06
