date,DCoVaR_BTC_USDe,DCoVaR_BTC_USDC,DCoVaR_ETH_USDe,DCoVaR_ETH_USDC
2025-05-26,-0.0006659953916624449,-0.00022735396098696157,-0.0007272378068937856,-0.00023060171826156831
2025-05-27,-0.0007110859117094636,-0.0002243314931242273,-0.0006575907575816197,-0.00024088009071045847
2025-05-28,-0.0007511394316855144,-0.00022164666099563882,-0.0007223338164389459,-0.00023132543937938227
2025-05-29,-0.0008046691151537551,-0.00021805850659386246,-0.0007767786535214287,-0.00022329057905177965
2025-05-30,-0.0007782173793624533,-0.00021983159595409556,-0.0008213822598319451,-0.00021670806790807966
2025-05-31,-0.0006519662554764599,-0.00022829434963672312,-0.0007381557829661686,-0.00022899046515654378
2025-06-01,-0.0006316253218656968,-0.00022965782510944854,-0.0007314629935423351,-0.00022997817365388192
2025-06-02,-0.0006749000964713625,-0.00022675706868933396,-0.0006793428525508855,-0.00023766995997490285
2025-06-03,-0.0007120649166523871,-0.00022426586933070356,-0.000748650357412994,-0.0002274416968178651
2025-06-04,-0.0007260515739821535,-0.00022332832808606465,-0.0007249831448517461,-0.000230934456783061
2025-06-05,-0.0008646027046400663,-0.00021404109122735544,-0.0008990100070287667,-0.00020525192000322008
2025-06-06,-0.0005292308248725409,-0.00023652144247646794,-0.0006849306364102594,-0.00023684532599201695
2025-06-07,-0.000619900634948649,-0.0002304437439538186,-0.0006958673161276578,-0.00023523131264041315
2025-06-08,-0.0006777082365009812,-0.0002265688359303254,-0.0007506053820683271,-0.0002271531781835119
2025-06-09,-0.0004462702237656309,-0.00024208238412134776,-0.0005986797525022864,-0.00024957405919187814
2025-06-10,-0.000689394118642602,-0.0002257855182133437,-0.0006360849567411812,-0.00024405387385034337
2025-06-11,-0.0007705221189156879,-0.00022034741784684523,-0.0007676359433704866,-0.00022463984195741172
2025-06-12,-0.0008362426966181363,-0.00021594209420411836,-0.0008321143725467377,-0.00021512424414619002
2025-06-13,-0.000678616094479127,-0.00022650798119722384,-0.0007957563789401419,-0.00022048988423394147
2025-06-14,-0.0007213127398320824,-0.00022364597742589225,-0.0007754310558292882,-0.00022348945482796658
2025-06-15,-0.0006830900050688052,-0.000226208089979204,-0.0007263204670707688,-0.00023073709744067617
2025-06-16,-0.0006195852372285555,-0.00023046488541486113,-0.0007426096171497556,-0.000228333177202257
2025-06-17,-0.0008077248363919917,-0.00021785367819023317,-0.0007623654110837629,-0.00022541765658677296
2025-06-18,-0.0006718598482628222,-0.00022696085991852065,-0.0007260974492788685,-0.0002307700099610273
2025-06-19,-0.000698455788433374,-0.0002251781043778688,-0.000739655585932041,-0.00022876912723002098
2025-06-20,-0.0007639878024963186,-0.00022078542036626364,-0.0008353279450860205,-0.00021464999152850584
2025-06-21,-0.0007467257708800814,-0.00022194251360340472,-0.0008331672408443244,-0.00021496886394546221
2025-06-22,-0.0007598269642965697,-0.000221064325992716,-0.0008047797920392154,-0.00021915822694898207
2025-06-23,-0.0004300903400356525,-0.00024316693977840474,-0.0005616935674952465,-0.0002550324065119778
2025-06-24,-0.000661859785947925,-0.00022763117525177916,-0.0007147594833083141,-0.00023244324433648335
2025-06-25,-0.0006160752931748597,-0.0002307001608805517,-0.0007623154290965396,-0.00022542503282863086
2025-06-26,-0.0007091369483436994,-0.00022446213431294117,-0.0007402017990001082,-0.00022868851819625013
2025-06-27,-0.0006805112205237698,-0.00022638094878420684,-0.0007307128683986686,-0.00023008887562454725
2025-06-28,-0.0006745373435990937,-0.00022678138441905728,-0.0007259494482723544,-0.0002307918516540033
2025-06-29,-0.0006306746965934041,-0.0002297215465819889,-0.0006828916138187695,-0.00023714624087404015
2025-06-30,-0.0007546284471406663,-0.00022141278839725708,-0.0007497028214462061,-0.00022728637627766635
2025-07-01,-0.0007656406634475867,-0.00022067462725273185,-0.0008070107756872786,-0.0002188289828375855
2025-07-02,-0.0005168563099589835,-0.00023735092001640656,-0.0005970777316642962,-0.00024981048222783394
2025-07-03,-0.000645666790038185,-0.00022871660983287385,-0.0007213662854108644,-0.00023146822567629926
2025-07-04,-0.0007732925485989889,-0.00022016171285442086,-0.0008056864942979996,-0.00021902441764035994
2025-07-05,-0.0006769195364422306,-0.0002266217033751547,-0.0007300873911249084,-0.00023018118231149976
2025-07-06,-0.0006341654612613917,-0.00022948755673191936,-0.0006927082376976038,-0.0002356975231262848
2025-07-07,-0.0007370795355897421,-0.00022258911151646984,-0.0007607225308778233,-0.00022566010956665258
2025-07-08,-0.0006527925870174891,-0.0002282389597116542,-0.0006781544515040345,-0.00023784534182810148
2025-07-09,-0.0005625439569866774,-0.00023428842606598957,-0.0006157985642979521,-0.00024704769913418687
2025-07-10,-0.00045002129002201237,-0.0002418309459654099,-0.0006017764919448857,-0.000249117048569281
2025-07-11,-0.0006115989983202706,-0.00023100021191850843,-0.0007352721475398785,-0.00022941602631399325
2025-07-12,-0.0006914881680173718,-0.00022564515174758502,-0.0007481474048840971,-0.00022751592154765862
2025-07-13,-0.0006051796340406006,-0.00023143050906775965,-0.0007157313841636751,-0.0002322998131491832
2025-07-14,-0.000651913145851954,-0.00022829790963410402,-0.0007092608963666744,-0.0002332547148163807
2025-07-15,-0.000788449141781471,-0.00021914574950436812,-0.0006506766105255,-0.0002419004667251073
2025-07-16,-0.0006403957707497521,-0.0002290699321362433,-0.0005873197913811329,-0.0002512505395677342
2025-07-17,-0.000660638778054137,-0.00022771302077308322,-0.0006725854837929766,-0.0002386671989613957
2025-07-18,-0.0007502407241575729,-0.00022170690236385476,-0.0006940694463603771,-0.00023549663867023367
2025-07-19,-0.0006905625896954159,-0.00022570719429510142,-0.000710127401988996,-0.00023312683764709305
2025-07-20,-0.0007189204460150329,-0.00022380633554934501,-0.0006432449964909427,-0.00024299720948302677
