date,BTC_USDe,BTC_USDC,ETH_USDe,ETH_USDC
2025-04-22,-0.0007157185100667933,-0.00016952093502596398,-0.0010169995882220683,-0.00019762567547835803
2025-04-23,-0.0007620049286738735,-0.00016806796055819466,-0.0010333436930618166,-0.0001977674109305823
2025-04-24,-0.000756035642862373,-0.00016913115146517977,-0.0010291217713027836,-0.00019828085189077863
2025-04-25,-0.0007562009228311226,-0.00016847106024391005,-0.0010298906022482178,-0.00019767694634467543
2025-04-26,-0.000703298161432527,-0.0001687753800045098,-0.0010263555056650867,-0.0001983247830051569
2025-04-27,-0.0007132977131682317,-0.0001687882459102506,-0.0010250715163652318,-0.00019834217082021494
2025-04-28,-0.0007035119415846724,-0.00016895228170906313,-0.0010273397176630763,-0.00019832111461024697
2025-04-29,-0.0007063505934351235,-0.00017031770380833774,-0.0010264775249555426,-0.00020013460941572698
2025-04-30,-0.0007105370412486667,-0.00017364724575531638,-0.0010265910665518867,-0.0002010913498623113
2025-05-01,-0.0007084013325838894,-0.00017359555368675876,-0.001026380778489549,-0.00020103125480222197
2025-05-02,-0.0007122273693309603,-0.00019093477669731386,-0.001029747824654226,-0.00020137533181103438
2025-05-03,-0.0007131726725599396,-0.0001911738201096838,-0.0010312060906653197,-0.00020225989075887325
2025-05-04,-0.0007027661941876563,-0.0001918080466516354,-0.0010293487885977687,-0.00020272010152658234
2025-05-05,-0.0007037453191635874,-0.00019193878945047003,-0.0010237699397390664,-0.00020286437874482093
2025-05-06,-0.0007022920854401715,-0.00019194634178346567,-0.0010223377088172498,-0.00020290112296944722
2025-05-07,-0.0007022453656546793,-0.00019323934740339956,-0.0010232795783081928,-0.00020402396736582748
2025-05-08,-0.0007098954122551092,-0.00019260006264603882,-0.001019057036327491,-0.000201408469281782
2025-05-09,-0.0007351225363070635,-0.00019146600921378238,-0.0009157041365289461,-0.0001890008141185443
2025-05-10,-0.0007331158357553953,-0.00019203119269002665,-0.0009095190143089849,-0.00018742827141303585
2025-05-11,-0.0007327155294250861,-0.00019199355579191895,-0.0009107988354666616,-0.00019210450652390958
2025-05-12,-0.0007337450003353461,-0.00019202208893693944,-0.0008984345374764009,-0.00019239011369723817
2025-05-13,-0.0007346986592973264,-0.00019180229253234576,-0.0008981210516072029,-0.00019246703306189273
2025-05-14,-0.0007232332001643322,-0.0001909562557006241,-0.0008913542661250746,-0.00019187241844882384
2025-05-15,-0.0007244834865548278,-0.00018761316952176313,-0.0008937379215854245,-0.0001906412772528332
2025-05-16,-0.0007258510100542875,-0.00016983133590303294,-0.0008868971265194345,-0.00018520625900930084
2025-05-17,-0.0007271185431070408,-0.00017009287189281505,-0.0008965928436372295,-0.00018178850895187888
2025-05-18,-0.0007295258462899925,-0.000174743664806984,-0.0008897187551943616,-0.00018381457785736528
2025-05-19,-0.0006974148928787733,-0.00017248232693715918,-0.0008338721856788689,-0.0001837685966233693
2025-05-20,-0.0006955741313065101,-0.00017236230161474754,-0.0008341575028553636,-0.00018333700818309604
2025-05-21,-0.0006954233270941301,-0.00017211766185394503,-0.0008339445709883744,-0.00017965245716859764
2025-05-22,-0.000696038922010575,-0.00017177904542712275,-0.0008339176805252424,-0.00016437624640561955
